,amenity_type,coordinates,county
936,Restaurant,"(-98.6390572, 29.3809972)",Bexar
937,Restaurant,"(-98.6856768, 29.4357573)",Bexar
938,Restaurant,"(-98.7152864, 29.4360411)",Bexar
939,Restaurant,"(-98.4885458, 29.426367)",Bexar
940,Restaurant,"(-98.4896144, 29.4266361)",Bexar
941,Restaurant,"(-98.4919919, 29.4235018)",Bexar
942,Restaurant,"(-98.4928995, 29.4253185)",Bexar
943,Restaurant,"(-98.4916538, 29.4284969)",Bexar
944,Restaurant,"(-98.4914734, 29.4284975)",Bexar
945,Restaurant,"(-98.4895402, 29.4254366)",Bexar
946,Restaurant,"(-98.4895335, 29.4250908)",Bexar
947,Restaurant,"(-98.4894007, 29.425099)",Bexar
948,Restaurant,"(-98.4888851, 29.4253186)",Bexar
949,Restaurant,"(-98.4898487, 29.4235734)",Bexar
950,Restaurant,"(-98.4881555, 29.4245266)",Bexar
951,Restaurant,"(-98.4881964, 29.4246113)",Bexar
952,Restaurant,"(-98.4880972, 29.4244443)",Bexar
953,Restaurant,"(-98.4879711, 29.4242626)",Bexar
954,Restaurant,"(-98.488238, 29.4247287)",Bexar
955,Restaurant,"(-98.4888455, 29.4258547)",Bexar
956,Restaurant,"(-98.489209, 29.4256199)",Bexar
957,Restaurant,"(-98.5559126, 29.3079634)",Bexar
958,Restaurant,"(-98.5407039, 29.3298376)",Bexar
959,Restaurant,"(-98.4936158, 29.4063855)",Bexar
960,Restaurant,"(-98.5361071, 29.3570989)",Bexar
961,Restaurant,"(-98.4954622, 29.3557651)",Bexar
962,Restaurant,"(-98.7054849, 29.4343301)",Bexar
963,Restaurant,"(-98.7051053, 29.4337951)",Bexar
964,Restaurant,"(-98.6541439, 29.2312502)",Bexar
965,Restaurant,"(-98.6526507, 29.4376015)",Bexar
966,Restaurant,"(-98.5042141, 29.3472164)",Bexar
967,Restaurant,"(-98.4692631, 29.3855937)",Bexar
968,Restaurant,"(-98.5124946, 29.3991966)",Bexar
969,Restaurant,"(-98.4884453, 29.4152256)",Bexar
970,Restaurant,"(-98.5012046, 29.4098553)",Bexar
971,Restaurant,"(-98.4906068, 29.4248815)",Bexar
972,Restaurant,"(-98.4844222, 29.4232311)",Bexar
973,Restaurant,"(-98.6840051, 29.4360925)",Bexar
974,Restaurant,"(-98.6834478, 29.4362444)",Bexar
975,Restaurant,"(-98.6845221, 29.4372056)",Bexar
976,Restaurant,"(-98.6812726, 29.4370655)",Bexar
977,Restaurant,"(-98.4881626, 29.4216069)",Bexar
978,Restaurant,"(-98.7048815, 29.4037964)",Bexar
979,Restaurant,"(-98.6999709, 29.4113702)",Bexar
980,Restaurant,"(-98.6823172, 29.4182815)",Bexar
981,Restaurant,"(-98.5351609, 29.3579612)",Bexar
982,Restaurant,"(-98.610647, 29.3748592)",Bexar
983,Restaurant,"(-98.6795164, 29.4372266)",Bexar
984,Restaurant,"(-98.4909486, 29.4141485)",Bexar
985,Restaurant,"(-98.4788871, 29.4211641)",Bexar
986,Restaurant,"(-98.4919528, 29.4263478)",Bexar
987,Restaurant,"(-98.4813889, 29.3954706)",Bexar
988,Restaurant,"(-98.4870265, 29.411143)",Bexar
989,Restaurant,"(-98.4884204, 29.4256063)",Bexar
990,Restaurant,"(-98.4885062, 29.4263932)",Bexar
991,Restaurant,"(-98.4886694, 29.4248508)",Bexar
992,Restaurant,"(-98.4942665, 29.4272407)",Bexar
993,Restaurant,"(-98.4849761, 29.4235363)",Bexar
994,Restaurant,"(-98.4817302, 29.3601842)",Bexar
995,Restaurant,"(-98.49462202578665, 29.436580342008412)",Bexar
996,Restaurant,"(-98.48290410561032, 29.423136836202676)",Bexar
997,Restaurant,"(-98.48932375977584, 29.42369744697572)",Bexar
998,Restaurant,"(-98.48819703212762, 29.424975754926404)",Bexar
